Runner Name,Nationality,Image Url (flag),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Timothy CHERUIYOT,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,,,,3:31.34,3:29.10,3:28.41,3:28.77
Jakob INGEBRIGTSEN,NOR,https://www.countryflags.io/NO/shiny/64.png,,,,,,,,,,,,,,,,,,3:31.18,3:30.16
Ronald MUSAGALA,UGA,https://www.countryflags.io/UG/shiny/64.png,,,,,,,,,,,,,,,,,,,3:30.58
Charlie DA'VALL GRICE,GBR,https://www.countryflags.io/GB/shiny/64.png,,,,,,,,,,,,,,,,,,,3:30.62
Ayanleh SOULEIMAN,DJI,https://www.countryflags.io/DJ/shiny/64.png,,,,,,,,,,,,3:30.31,3:31.64,3:29.58,3:30.17,3:31.68,,3:31.19,3:30.66
Filip INGEBRIGTSEN,NOR,https://www.countryflags.io/NO/shiny/64.png,,,,,,,,,,,,,,,,,3:32.48,3:30.01,3:31.06
Taoufik MAKHLOUFI,ALG,https://www.countryflags.io/DZ/shiny/64.png,,,,,,,,,,,,3:30.80,,3:30.40,3:28.75,3:31.35,,,3:31.38
Samuel TEFERA,ETH,https://www.countryflags.io/ET/shiny/64.png,,,,,,,,,,,,,,,,,,3:31.63,3:31.39
Bethwell BIRGEN,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,3:31.00,3:31.90,,,,3:32.27,,3:31.45
Marcin LEWANDOWSKI,POL,https://www.countryflags.io/PL/shiny/64.png,,,,,,,,,,,,,,,,,,,3:31.46
Elijah Motonei MANANGOI,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,,,3:29.67,3:31.19,3:28.80,3:29.64,
Abdelaati IGUIDER,MAR,https://www.countryflags.io/MA/shiny/64.png,,,,,,,,3:31.88,3:31.47,,3:31.60,,,3:29.83,3:28.79,3:31.40,,3:31.59,
Brahim KAAZOUZI,MAR,https://www.countryflags.io/MA/shiny/64.png,,,,,,,,,,,,,,,,,,3:31.62,
Matthew CENTROWITZ,USA,https://www.countryflags.io/US/shiny/64.png,,,,,,,,,,,,3:31.96,,,,,,3:31.77,
Aman WOTE,ETH,https://www.countryflags.io/ET/shiny/64.png,,,,,,,,,,,,,,3:29.91,3:30.29,,3:31.63,3:31.90,
Ronald KWEMOI,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,,3:28.81,,3:30.49,3:30.89,,
Sadik MIKHOU,MAR,https://www.countryflags.io/BH/shiny/64.png,,,,,,,,,,,,,,,,3:32.30,3:31.34,,
Silas KIPLAGAT,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,3:29.27,3:30.47,3:29.63,3:30.13,3:27.64,3:30.12,,3:32.23,,
Charles Cheboi SIMOTWO,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,,,,,3:32.59,,
Vincent KIBET,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,,,,,3:32.66,,
Asbel KIPROP,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,3:31.64,,3:31.78,3:30.46,3:28.88,3:27.72,3:28.45,3:26.69,3:29.33,,,
Mo FARAH,GBR,https://www.countryflags.io/GB/shiny/64.png,,,,,,,,,,,,,3:28.81,,3:28.93,3:31.74,,,
Ryan GREGSON,AUS,https://www.countryflags.io/AU/shiny/64.png,,,,,,,,,,3:31.06,,,,,,3:32.13,,,
Nick WILLIS,NZL,https://www.countryflags.io/NZ/shiny/64.png,,,,,,,,,,,3:31.79,3:30.35,,3:29.91,3:29.66,,,,
Robert BIWOTT,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,,,3:30.10,,,,
James Kiplagat MAGUT,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,,3:30.61,,,,,
Leonel MANZANO,USA,https://www.countryflags.io/US/shiny/64.png,,,,,,,,,,,,,,3:30.98,,,,,
Caleb Mwangangi NDIKU,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,3:29.50,,,,,,
Ilham Tanui ÖZBILEN,TUR,https://www.countryflags.io/TR/shiny/64.png,,,,,,,,,3:31.70,,3:31.37,,3:31.30,,,,,,
Collins CHEBOI,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,,3:31.53,,,,,,
Johan CRONJE,RSA,https://www.countryflags.io/ZA/shiny/64.png,,,,,,,,,,,,,3:31.93,,,,,,
Zakaria MAZOUZI,MAR,https://www.countryflags.io/MA/shiny/64.png,,,,,,,,,,,,,3:31.94,,,,,,
Nixon Kiplimo CHEPSEBA,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,3:30.94,3:29.77,,,,,,,
Mekonnen GEBREMEDHIN,ETH,https://www.countryflags.io/ET/shiny/64.png,,,,,,,,,,3:31.57,,3:31.45,,,,,,,
Benson SEUREI,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,,,3:31.61,,,,,,,
Augustine Kiprono CHOGE,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,3:31.73,3:31.57,3:29.47,3:30.22,3:31.14,,,,,,,,
Abubaker KAKI,SUD,https://www.countryflags.io/SD/shiny/64.png,,,,,,,,,,,3:31.76,,,,,,,,
Mohammed SHAWEEN,KSA,https://www.countryflags.io/SA/shiny/64.png,,,,,,,,,,,3:31.82,,,,,,,,
Mohamed MOUSTAOUI,MAR,https://www.countryflags.io/MA/shiny/64.png,,,,,,,,3:32.06,,,3:31.84,,,,,,,,
Amine LAALOU,MAR,https://www.countryflags.io/MA/shiny/64.png,,,,,,,,,3:31.56,3:29.53,,,,,,,,,
Andrew WHEATING,USA,https://www.countryflags.io/US/shiny/64.png,,,,,,,,,,3:30.90,,,,,,,,,
Nicholas Kiptanui KEMBOI,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,,,,,,3:31.52,,,,,,,,,
Daniel Kipchirchir KOMEN,KEN,https://www.countryflags.io/KE/shiny/64.png,,,,,3:29.72,3:29.02,3:31.75,3:31.49,,3:32.16,,,,,,,,,
